attendance_id,learner_id,term,days_possible,days_present,days_absent,attendance_rate,attendance_category
1,1,1,53,52,1,0.981,Good Attendance
2,1,2,45,37,8,0.822,Attendance Concern
3,1,3,45,36,9,0.8,Attendance Concern
4,1,4,49,39,10,0.796,High Attendance Risk
5,2,1,50,46,4,0.92,Good Attendance
6,2,2,51,43,8,0.843,Attendance Concern
7,2,3,47,45,2,0.957,Good Attendance
8,2,4,54,47,7,0.87,Attendance Concern
9,3,1,47,40,7,0.851,Attendance Concern
10,3,2,47,44,3,0.936,Good Attendance
11,3,3,51,46,5,0.902,Good Attendance
12,3,4,55,44,11,0.8,Attendance Concern
13,4,1,53,44,9,0.83,Attendance Concern
14,4,2,52,47,5,0.904,Good Attendance
15,4,3,49,41,8,0.837,Attendance Concern
16,4,4,52,43,9,0.827,Attendance Concern
17,5,1,49,46,3,0.939,Good Attendance
18,5,2,46,39,7,0.848,Attendance Concern
19,5,3,48,44,4,0.917,Good Attendance
20,5,4,48,44,4,0.917,Good Attendance
21,6,1,46,45,1,0.978,Good Attendance
22,6,2,45,37,8,0.822,Attendance Concern
23,6,3,55,45,10,0.818,Attendance Concern
24,6,4,51,42,9,0.824,Attendance Concern
25,7,1,46,39,7,0.848,Attendance Concern
26,7,2,54,50,4,0.926,Good Attendance
27,7,3,53,50,3,0.943,Good Attendance
28,7,4,49,45,4,0.918,Good Attendance
29,8,1,55,45,10,0.818,Attendance Concern
30,8,2,53,42,11,0.792,High Attendance Risk
31,8,3,47,39,8,0.83,Attendance Concern
32,8,4,50,43,7,0.86,Attendance Concern
33,9,1,52,50,2,0.962,Good Attendance
34,9,2,53,43,10,0.811,Attendance Concern
35,9,3,51,42,9,0.824,Attendance Concern
36,9,4,49,42,7,0.857,Attendance Concern
37,10,1,55,46,9,0.836,Attendance Concern
38,10,2,54,49,5,0.907,Good Attendance
39,10,3,47,41,6,0.872,Attendance Concern
40,10,4,46,43,3,0.935,Good Attendance
41,11,1,48,38,10,0.792,High Attendance Risk
42,11,2,52,43,9,0.827,Attendance Concern
43,11,3,45,39,6,0.867,Attendance Concern
44,11,4,53,46,7,0.868,Attendance Concern
45,12,1,49,39,10,0.796,High Attendance Risk
46,12,2,53,42,11,0.792,High Attendance Risk
47,12,3,51,42,9,0.824,Attendance Concern
48,12,4,51,45,6,0.882,Attendance Concern
49,13,1,53,45,8,0.849,Attendance Concern
50,13,2,52,43,9,0.827,Attendance Concern
51,13,3,46,36,10,0.783,High Attendance Risk
52,13,4,51,47,4,0.922,Good Attendance
53,14,1,51,42,9,0.824,Attendance Concern
54,14,2,48,41,7,0.854,Attendance Concern
55,14,3,54,45,9,0.833,Attendance Concern
56,14,4,54,47,7,0.87,Attendance Concern
57,15,1,51,41,10,0.804,Attendance Concern
58,15,2,45,41,4,0.911,Good Attendance
59,15,3,46,38,8,0.826,Attendance Concern
60,15,4,45,43,2,0.956,Good Attendance
61,16,1,54,45,9,0.833,Attendance Concern
62,16,2,46,41,5,0.891,Attendance Concern
63,16,3,49,40,9,0.816,Attendance Concern
64,16,4,54,50,4,0.926,Good Attendance
65,17,1,51,44,7,0.863,Attendance Concern
66,17,2,46,38,8,0.826,Attendance Concern
67,17,3,49,43,6,0.878,Attendance Concern
68,17,4,47,44,3,0.936,Good Attendance
69,18,1,50,45,5,0.9,Good Attendance
70,18,2,54,45,9,0.833,Attendance Concern
71,18,3,45,36,9,0.8,Attendance Concern
72,18,4,53,51,2,0.962,Good Attendance
73,19,1,54,47,7,0.87,Attendance Concern
74,19,2,49,47,2,0.959,Good Attendance
75,19,3,48,39,9,0.812,Attendance Concern
76,19,4,55,44,11,0.8,Attendance Concern
77,20,1,47,40,7,0.851,Attendance Concern
78,20,2,52,42,10,0.808,Attendance Concern
79,20,3,45,41,4,0.911,Good Attendance
80,20,4,51,43,8,0.843,Attendance Concern
81,21,1,47,46,1,0.979,Good Attendance
82,21,2,46,37,9,0.804,Attendance Concern
83,21,3,45,40,5,0.889,Attendance Concern
84,21,4,52,47,5,0.904,Good Attendance
85,22,1,52,50,2,0.962,Good Attendance
86,22,2,52,42,10,0.808,Attendance Concern
87,22,3,45,40,5,0.889,Attendance Concern
88,22,4,49,46,3,0.939,Good Attendance
89,23,1,53,47,6,0.887,Attendance Concern
90,23,2,47,44,3,0.936,Good Attendance
91,23,3,46,39,7,0.848,Attendance Concern
92,23,4,50,44,6,0.88,Attendance Concern
93,24,1,50,49,1,0.98,Good Attendance
94,24,2,49,45,4,0.918,Good Attendance
95,24,3,49,42,7,0.857,Attendance Concern
96,24,4,45,43,2,0.956,Good Attendance
97,25,1,49,45,4,0.918,Good Attendance
98,25,2,53,50,3,0.943,Good Attendance
99,25,3,54,47,7,0.87,Attendance Concern
100,25,4,49,45,4,0.918,Good Attendance
101,26,1,55,43,12,0.782,High Attendance Risk
102,26,2,51,49,2,0.961,Good Attendance
103,26,3,55,54,1,0.982,Good Attendance
104,26,4,50,44,6,0.88,Attendance Concern
105,27,1,48,43,5,0.896,Attendance Concern
106,27,2,51,43,8,0.843,Attendance Concern
107,27,3,46,38,8,0.826,Attendance Concern
108,27,4,51,46,5,0.902,Good Attendance
109,28,1,49,47,2,0.959,Good Attendance
110,28,2,55,49,6,0.891,Attendance Concern
111,28,3,52,51,1,0.981,Good Attendance
112,28,4,53,43,10,0.811,Attendance Concern
113,29,1,55,47,8,0.855,Attendance Concern
114,29,2,50,43,7,0.86,Attendance Concern
115,29,3,51,49,2,0.961,Good Attendance
116,29,4,49,41,8,0.837,Attendance Concern
