mark_id,learner_id,subject,teacher_id,term,mark,risk_category
1,1,English,6,1,73,Strong
2,1,English,6,2,80,Strong
3,1,English,6,3,85,Strong
4,1,English,6,4,85,Strong
5,1,Afrikaans,8,1,40,At Risk
6,1,Afrikaans,8,2,50,Passing
7,1,Afrikaans,8,3,48,At Risk
8,1,Afrikaans,8,4,41,At Risk
9,1,Mathematics,2,1,53,Passing
10,1,Mathematics,2,2,49,At Risk
11,1,Mathematics,2,3,51,Passing
12,1,Mathematics,2,4,38,High Risk
13,1,Life Science,14,1,72,Strong
14,1,Life Science,14,2,76,Strong
15,1,Life Science,14,3,81,Strong
16,1,Life Science,14,4,82,Strong
17,1,Geography,21,1,49,At Risk
18,1,Geography,21,2,62,Passing
19,1,Geography,21,3,51,Passing
20,1,Geography,21,4,58,Passing
21,1,Accounting,25,1,55,Passing
22,1,Accounting,25,2,44,At Risk
23,1,Accounting,25,3,40,At Risk
24,1,Accounting,25,4,46,At Risk
25,2,English,6,1,81,Strong
26,2,English,6,2,83,Strong
27,2,English,6,3,83,Strong
28,2,English,6,4,72,Strong
29,2,Afrikaans,8,1,71,Strong
30,2,Afrikaans,8,2,69,Passing
31,2,Afrikaans,8,3,72,Strong
32,2,Afrikaans,8,4,73,Strong
33,2,Mathematics,1,1,54,Passing
34,2,Mathematics,1,2,63,Passing
35,2,Mathematics,1,3,55,Passing
36,2,Mathematics,1,4,63,Passing
37,2,History,17,1,58,Passing
38,2,History,17,2,55,Passing
39,2,History,17,3,54,Passing
40,2,History,17,4,50,Passing
41,2,Geography,19,1,62,Passing
42,2,Geography,19,2,64,Passing
43,2,Geography,19,3,71,Strong
44,2,Geography,19,4,69,Passing
45,2,Information Technology,22,1,64,Passing
46,2,Information Technology,22,2,62,Passing
47,2,Information Technology,22,3,69,Passing
48,2,Information Technology,22,4,72,Strong
49,3,English,4,1,64,Passing
50,3,English,4,2,76,Strong
51,3,English,4,3,62,Passing
52,3,English,4,4,73,Strong
53,3,Afrikaans,8,1,80,Strong
54,3,Afrikaans,8,2,69,Passing
55,3,Afrikaans,8,3,80,Strong
56,3,Afrikaans,8,4,78,Strong
57,3,Mathematics,3,1,49,At Risk
58,3,Mathematics,3,2,53,Passing
59,3,Mathematics,3,3,58,Passing
60,3,Mathematics,3,4,49,At Risk
61,3,Physical Science,12,1,48,At Risk
62,3,Physical Science,12,2,48,At Risk
63,3,Physical Science,12,3,46,At Risk
64,3,Physical Science,12,4,53,Passing
65,3,Geography,21,1,61,Passing
66,3,Geography,21,2,61,Passing
67,3,Geography,21,3,46,At Risk
68,3,Geography,21,4,55,Passing
69,3,History,16,1,83,Strong
70,3,History,16,2,91,Strong
71,3,History,16,3,83,Strong
72,3,History,16,4,84,Strong
73,4,English,4,1,55,Passing
74,4,English,4,2,64,Passing
75,4,English,4,3,51,Passing
76,4,English,4,4,63,Passing
77,4,Afrikaans,7,1,67,Passing
78,4,Afrikaans,7,2,74,Strong
79,4,Afrikaans,7,3,69,Passing
80,4,Afrikaans,7,4,74,Strong
81,4,Mathematics,3,1,53,Passing
82,4,Mathematics,3,2,55,Passing
83,4,Mathematics,3,3,61,Passing
84,4,Mathematics,3,4,52,Passing
85,4,Accounting,25,1,71,Strong
86,4,Accounting,25,2,71,Strong
87,4,Accounting,25,3,66,Passing
88,4,Accounting,25,4,69,Passing
89,4,Geography,21,1,87,Strong
90,4,Geography,21,2,84,Strong
91,4,Geography,21,3,76,Strong
92,4,Geography,21,4,77,Strong
93,4,Life Science,13,1,80,Strong
94,4,Life Science,13,2,84,Strong
95,4,Life Science,13,3,77,Strong
96,4,Life Science,13,4,91,Strong
97,5,English,5,1,65,Passing
98,5,English,5,2,78,Strong
99,5,English,5,3,65,Passing
100,5,English,5,4,71,Strong
101,5,Afrikaans,7,1,47,At Risk
102,5,Afrikaans,7,2,50,Passing
103,5,Afrikaans,7,3,56,Passing
104,5,Afrikaans,7,4,58,Passing
105,5,Mathematics,2,1,54,Passing
106,5,Mathematics,2,2,43,At Risk
107,5,Mathematics,2,3,48,At Risk
108,5,Mathematics,2,4,55,Passing
109,5,Geography,19,1,61,Passing
110,5,Geography,19,2,74,Strong
111,5,Geography,19,3,62,Passing
112,5,Geography,19,4,73,Strong
113,5,Life Science,15,1,81,Strong
114,5,Life Science,15,2,77,Strong
115,5,Life Science,15,3,82,Strong
116,5,Life Science,15,4,72,Strong
117,5,Physical Science,11,1,60,Passing
118,5,Physical Science,11,2,53,Passing
119,5,Physical Science,11,3,63,Passing
120,5,Physical Science,11,4,56,Passing
121,6,English,6,1,64,Passing
122,6,English,6,2,64,Passing
123,6,English,6,3,61,Passing
124,6,English,6,4,69,Passing
125,6,Afrikaans,9,1,71,Strong
126,6,Afrikaans,9,2,82,Strong
127,6,Afrikaans,9,3,81,Strong
128,6,Afrikaans,9,4,67,Passing
129,6,Mathematics,1,1,37,High Risk
130,6,Mathematics,1,2,45,At Risk
131,6,Mathematics,1,3,43,At Risk
132,6,Mathematics,1,4,41,At Risk
133,6,Geography,19,1,90,Strong
134,6,Geography,19,2,87,Strong
135,6,Geography,19,3,77,Strong
136,6,Geography,19,4,83,Strong
137,6,Information Technology,24,1,59,Passing
138,6,Information Technology,24,2,53,Passing
139,6,Information Technology,24,3,51,Passing
140,6,Information Technology,24,4,57,Passing
141,6,Physical Science,10,1,70,Strong
142,6,Physical Science,10,2,58,Passing
143,6,Physical Science,10,3,59,Passing
144,6,Physical Science,10,4,71,Strong
145,7,English,6,1,77,Strong
146,7,English,6,2,93,Strong
147,7,English,6,3,84,Strong
148,7,English,6,4,81,Strong
149,7,Afrikaans,7,1,68,Passing
150,7,Afrikaans,7,2,55,Passing
151,7,Afrikaans,7,3,66,Passing
152,7,Afrikaans,7,4,62,Passing
153,7,Mathematics,3,1,81,Strong
154,7,Mathematics,3,2,73,Strong
155,7,Mathematics,3,3,70,Strong
156,7,Mathematics,3,4,84,Strong
157,7,Physical Science,12,1,55,Passing
158,7,Physical Science,12,2,69,Passing
159,7,Physical Science,12,3,69,Passing
160,7,Physical Science,12,4,69,Passing
161,7,Geography,21,1,74,Strong
162,7,Geography,21,2,86,Strong
163,7,Geography,21,3,89,Strong
164,7,Geography,21,4,75,Strong
165,7,Life Science,15,1,90,Strong
166,7,Life Science,15,2,89,Strong
167,7,Life Science,15,3,86,Strong
168,7,Life Science,15,4,78,Strong
169,8,English,6,1,63,Passing
170,8,English,6,2,72,Strong
171,8,English,6,3,68,Passing
172,8,English,6,4,64,Passing
173,8,Afrikaans,8,1,84,Strong
174,8,Afrikaans,8,2,78,Strong
175,8,Afrikaans,8,3,75,Strong
176,8,Afrikaans,8,4,85,Strong
177,8,Mathematics,2,1,76,Strong
178,8,Mathematics,2,2,71,Strong
179,8,Mathematics,2,3,80,Strong
180,8,Mathematics,2,4,81,Strong
181,8,Geography,19,1,84,Strong
182,8,Geography,19,2,83,Strong
183,8,Geography,19,3,81,Strong
184,8,Geography,19,4,93,Strong
185,8,Life Science,15,1,49,At Risk
186,8,Life Science,15,2,46,At Risk
187,8,Life Science,15,3,41,At Risk
188,8,Life Science,15,4,46,At Risk
189,8,Physical Science,10,1,42,At Risk
190,8,Physical Science,10,2,41,At Risk
191,8,Physical Science,10,3,48,At Risk
192,8,Physical Science,10,4,44,At Risk
193,9,English,5,1,88,Strong
194,9,English,5,2,81,Strong
195,9,English,5,3,74,Strong
196,9,English,5,4,79,Strong
197,9,Afrikaans,9,1,66,Passing
198,9,Afrikaans,9,2,56,Passing
199,9,Afrikaans,9,3,65,Passing
200,9,Afrikaans,9,4,63,Passing
201,9,Mathematics,1,1,50,Passing
202,9,Mathematics,1,2,52,Passing
203,9,Mathematics,1,3,51,Passing
204,9,Mathematics,1,4,53,Passing
205,9,History,18,1,74,Strong
206,9,History,18,2,69,Passing
207,9,History,18,3,79,Strong
208,9,History,18,4,79,Strong
209,9,Geography,20,1,78,Strong
210,9,Geography,20,2,70,Strong
211,9,Geography,20,3,64,Passing
212,9,Geography,20,4,75,Strong
213,9,Accounting,26,1,52,Passing
214,9,Accounting,26,2,44,At Risk
