attendance_id,learner_id,term,days_possible,days_present,days_absent,attendance_rate
1,1,1,53,52,1,0.981
2,1,2,45,37,8,0.822
3,1,3,45,36,9,0.8
4,1,4,49,39,10,0.796
5,2,1,50,46,4,0.92
6,2,2,51,43,8,0.843
7,2,3,47,45,2,0.957
8,2,4,54,47,7,0.87
9,3,1,47,40,7,0.851
10,3,2,47,44,3,0.936
11,3,3,51,46,5,0.902
12,3,4,55,44,11,0.8
13,4,1,53,44,9,0.83
14,4,2,52,47,5,0.904
15,4,3,49,41,8,0.837
16,4,4,52,43,9,0.827
17,5,1,49,46,3,0.939
18,5,2,46,39,7,0.848
19,5,3,48,44,4,0.917
20,5,4,48,44,4,0.917
21,6,1,46,45,1,0.978
22,6,2,45,37,8,0.822
23,6,3,55,45,10,0.818
24,6,4,51,42,9,0.824
25,7,1,46,39,7,0.848
26,7,2,54,50,4,0.926
27,7,3,53,50,3,0.943
28,7,4,49,45,4,0.918
29,8,1,55,45,10,0.818
30,8,2,53,42,11,0.792
31,8,3,47,39,8,0.83
32,8,4,50,43,7,0.86
33,9,1,52,50,2,0.962
34,9,2,53,43,10,0.811
35,9,3,51,42,9,0.824
36,9,4,49,42,7,0.857
37,10,1,55,46,9,0.836
38,10,2,54,49,5,0.907
39,10,3,47,41,6,0.872
40,10,4,46,43,3,0.935
41,11,1,48,38,10,0.792
42,11,2,52,43,9,0.827
43,11,3,45,39,6,0.867
44,11,4,53,46,7,0.868
45,12,1,49,39,10,0.796
46,12,2,53,42,11,0.792
47,12,3,51,42,9,0.824
48,12,4,51,45,6,0.882
49,13,1,53,45,8,0.849
50,13,2,52,43,9,0.827
51,13,3,46,36,10,0.783
52,13,4,51,47,4,0.922
53,14,1,51,42,9,0.824
54,14,2,48,41,7,0.854
55,14,3,54,45,9,0.833
56,14,4,54,47,7,0.87
57,15,1,51,41,10,0.804
58,15,2,45,41,4,0.911
59,15,3,46,38,8,0.826
60,15,4,45,43,2,0.956
61,16,1,54,45,9,0.833
62,16,2,46,41,5,0.891
63,16,3,49,40,9,0.816
64,16,4,54,50,4,0.926
65,17,1,51,44,7,0.863
66,17,2,46,38,8,0.826
67,17,3,49,43,6,0.878
68,17,4,47,44,3,0.936
69,18,1,50,45,5,0.9
70,18,2,54,45,9,0.833
71,18,3,45,36,9,0.8
72,18,4,53,51,2,0.962
73,19,1,54,47,7,0.87
74,19,2,49,47,2,0.959
75,19,3,48,39,9,0.812
76,19,4,55,44,11,0.8
77,20,1,47,40,7,0.851
78,20,2,52,42,10,0.808
79,20,3,45,41,4,0.911
80,20,4,51,43,8,0.843
81,21,1,47,46,1,0.979
82,21,2,46,37,9,0.804
83,21,3,45,40,5,0.889
84,21,4,52,47,5,0.904
85,22,1,52,50,2,0.962
86,22,2,52,42,10,0.808
87,22,3,45,40,5,0.889
88,22,4,49,46,3,0.939
89,23,1,53,47,6,0.887
90,23,2,47,44,3,0.936
91,23,3,46,39,7,0.848
92,23,4,50,44,6,0.88
93,24,1,50,49,1,0.98
94,24,2,49,45,4,0.918
95,24,3,49,42,7,0.857
96,24,4,45,43,2,0.956
97,25,1,49,45,4,0.918
98,25,2,53,50,3,0.943
99,25,3,54,47,7,0.87
100,25,4,49,45,4,0.918
101,26,1,55,43,12,0.782
102,26,2,51,49,2,0.961
103,26,3,55,54,1,0.982
104,26,4,50,44,6,0.88
105,27,1,48,43,5,0.896
106,27,2,51,43,8,0.843
107,27,3,46,38,8,0.826
108,27,4,51,46,5,0.902
109,28,1,49,47,2,0.959
110,28,2,55,49,6,0.891
111,28,3,52,51,1,0.981
112,28,4,53,43,10,0.811
113,29,1,55,47,8,0.855
114,29,2,50,43,7,0.86
115,29,3,51,49,2,0.961
116,29,4,49,41,8,0.837
117,30,1,45,40,5,0.889
118,30,2,50,47,3,0.94
119,30,3,46,40,6,0.87
120,30,4,52,46,6,0.885
121,31,1,50,42,8,0.84
122,31,2,45,40,5,0.889
123,31,3,55,45,10,0.818
124,31,4,55,45,10,0.818
125,32,1,49,44,5,0.898
126,32,2,55,45,10,0.818
127,32,3,52,44,8,0.846
128,32,4,49,38,11,0.776
129,33,1,45,37,8,0.822
130,33,2,54,43,11,0.796
131,33,3,52,44,8,0.846
132,33,4,51,43,8,0.843
133,34,1,45,36,9,0.8
134,34,2,47,40,7,0.851
135,34,3,49,46,3,0.939
136,34,4,53,48,5,0.906
137,35,1,53,43,10,0.811
138,35,2,46,42,4,0.913
139,35,3,47,46,1,0.979
140,35,4,48,42,6,0.875
141,36,1,46,39,7,0.848
142,36,2,45,39,6,0.867
143,36,3,50,41,9,0.82
144,36,4,55,50,5,0.909
145,37,1,51,44,7,0.863
146,37,2,46,44,2,0.957
147,37,3,49,44,5,0.898
148,37,4,47,42,5,0.894
149,38,1,55,53,2,0.964
150,38,2,54,44,10,0.815
151,38,3,48,40,8,0.833
152,38,4,51,45,6,0.882
153,39,1,49,41,8,0.837
154,39,2,49,44,5,0.898
155,39,3,55,48,7,0.873
156,39,4,47,40,7,0.851
157,40,1,51,41,10,0.804
158,40,2,53,46,7,0.868
159,40,3,50,44,6,0.88
160,40,4,55,51,4,0.927
161,41,1,52,44,8,0.846
162,41,2,52,45,7,0.865
163,41,3,51,44,7,0.863
164,41,4,53,42,11,0.792
165,42,1,51,41,10,0.804
166,42,2,47,42,5,0.894
167,42,3,49,46,3,0.939
168,42,4,54,48,6,0.889
169,43,1,47,42,5,0.894
170,43,2,54,52,2,0.963
171,43,3,45,42,3,0.933
172,43,4,51,41,10,0.804
173,44,1,55,43,12,0.782
174,44,2,53,46,7,0.868
175,44,3,45,36,9,0.8
176,44,4,49,46,3,0.939
177,45,1,55,44,11,0.8
178,45,2,54,43,11,0.796
179,45,3,49,44,5,0.898
180,45,4,50,48,2,0.96
181,46,1,46,43,3,0.935
182,46,2,55,49,6,0.891
183,46,3,45,41,4,0.911
184,46,4,53,43,10,0.811
185,47,1,52,42,10,0.808
186,47,2,55,50,5,0.909
187,47,3,47,39,8,0.83
188,47,4,49,45,4,0.918
189,48,1,45,42,3,0.933
190,48,2,54,50,4,0.926
191,48,3,46,36,10,0.783
192,48,4,47,42,5,0.894
193,49,1,46,41,5,0.891
194,49,2,48,39,9,0.812
195,49,3,52,41,11,0.788
196,49,4,53,46,7,0.868
197,50,1,45,43,2,0.956
198,50,2,49,42,7,0.857
199,50,3,47,44,3,0.936
200,50,4,53,44,9,0.83
201,51,1,54,49,5,0.907
202,51,2,55,50,5,0.909
203,51,3,51,41,10,0.804
204,51,4,45,37,8,0.822
205,52,1,55,46,9,0.836
206,52,2,53,49,4,0.925
207,52,3,53,43,10,0.811
208,52,4,52,44,8,0.846
209,53,1,55,44,11,0.8
210,53,2,54,47,7,0.87
211,53,3,55,46,9,0.836
212,53,4,51,47,4,0.922
213,54,1,46,40,6,0.87
214,54,2,51,41,10,0.804
215,54,3,49,43,6,0.878
216,54,4,54,46,8,0.852
217,55,1,54,45,9,0.833
218,55,2,55,50,5,0.909
219,55,3,55,50,5,0.909
220,55,4,45,43,2,0.956
221,56,1,50,49,1,0.98
222,56,2,52,50,2,0.962
223,56,3,52,43,9,0.827
224,56,4,47,40,7,0.851
225,57,1,53,44,9,0.83
226,57,2,53,45,8,0.849
227,57,3,46,37,9,0.804
228,57,4,47,40,7,0.851
229,58,1,54,46,8,0.852
230,58,2,47,39,8,0.83
231,58,3,55,46,9,0.836
232,58,4,51,40,11,0.784
233,59,1,55,48,7,0.873
234,59,2,52,47,5,0.904
235,59,3,47,42,5,0.894
236,59,4,53,50,3,0.943
237,60,1,53,44,9,0.83
238,60,2,50,45,5,0.9
239,60,3,54,46,8,0.852
240,60,4,54,51,3,0.944
241,61,1,46,36,10,0.783
242,61,2,47,39,8,0.83
243,61,3,55,44,11,0.8
244,61,4,55,48,7,0.873
245,62,1,48,47,1,0.979
246,62,2,48,38,10,0.792
247,62,3,47,44,3,0.936
248,62,4,51,47,4,0.922
249,63,1,51,49,2,0.961
250,63,2,45,41,4,0.911
251,63,3,46,36,10,0.783
252,63,4,46,40,6,0.87
253,64,1,50,45,5,0.9
254,64,2,45,43,2,0.956
255,64,3,50,40,10,0.8
256,64,4,52,44,8,0.846
257,65,1,55,49,6,0.891
258,65,2,48,39,9,0.812
259,65,3,52,45,7,0.865
260,65,4,49,40,9,0.816
261,66,1,47,41,6,0.872
262,66,2,53,50,3,0.943
263,66,3,48,38,10,0.792
264,66,4,45,41,4,0.911
265,67,1,55,44,11,0.8
266,67,2,45,42,3,0.933
267,67,3,45,38,7,0.844
268,67,4,51,46,5,0.902
269,68,1,46,39,7,0.848
270,68,2,55,51,4,0.927
271,68,3,55,49,6,0.891
272,68,4,48,45,3,0.938
273,69,1,54,51,3,0.944
274,69,2,53,45,8,0.849
