enrolment_id,learner_id,subject,teacher_id
1,1,English,6
2,1,Afrikaans,8
3,1,Mathematics,2
4,1,Life Science,14
5,1,Geography,21
6,1,Accounting,25
7,2,English,6
8,2,Afrikaans,8
9,2,Mathematics,1
10,2,History,17
11,2,Geography,19
12,2,Information Technology,22
13,3,English,4
14,3,Afrikaans,8
15,3,Mathematics,3
16,3,Physical Science,12
17,3,Geography,21
18,3,History,16
19,4,English,4
20,4,Afrikaans,7
21,4,Mathematics,3
22,4,Accounting,25
23,4,Geography,21
24,4,Life Science,13
25,5,English,5
26,5,Afrikaans,7
27,5,Mathematics,2
28,5,Geography,19
29,5,Life Science,15
30,5,Physical Science,11
31,6,English,6
32,6,Afrikaans,9
33,6,Mathematics,1
34,6,Geography,19
35,6,Information Technology,24
36,6,Physical Science,10
37,7,English,6
38,7,Afrikaans,7
39,7,Mathematics,3
40,7,Physical Science,12
41,7,Geography,21
42,7,Life Science,15
43,8,English,6
44,8,Afrikaans,8
45,8,Mathematics,2
46,8,Geography,19
47,8,Life Science,15
48,8,Physical Science,10
49,9,English,5
50,9,Afrikaans,9
51,9,Mathematics,1
52,9,History,18
53,9,Geography,20
54,9,Accounting,26
55,10,English,4
56,10,Afrikaans,7
57,10,Mathematics,2
58,10,Life Science,14
59,10,Geography,20
60,10,History,17
61,11,English,6
62,11,Afrikaans,7
63,11,Mathematics,3
64,11,History,18
65,11,Geography,19
66,11,Accounting,26
67,12,English,4
68,12,Afrikaans,7
69,12,Mathematics,2
70,12,Geography,19
71,12,History,16
72,12,Physical Science,10
73,13,English,5
74,13,Afrikaans,9
75,13,Mathematics,3
76,13,Geography,20
77,13,Physical Science,11
78,13,Information Technology,23
79,14,English,4
80,14,Afrikaans,7
81,14,Mathematics,2
82,14,History,16
83,14,Life Science,15
84,14,Physical Science,10
85,15,English,6
86,15,Afrikaans,8
87,15,Mathematics,2
88,15,Accounting,26
89,15,Physical Science,12
90,15,Information Technology,23
91,16,English,5
92,16,Afrikaans,8
93,16,Mathematics,1
94,16,Life Science,13
95,16,Accounting,25
96,16,Physical Science,10
97,17,English,6
98,17,Afrikaans,8
99,17,Mathematics,3
100,17,Information Technology,22
101,17,Life Science,13
102,17,Accounting,25
103,18,English,5
104,18,Afrikaans,9
105,18,Mathematics,2
106,18,Life Science,15
107,18,Geography,21
108,18,Physical Science,10
109,19,English,4
110,19,Afrikaans,7
111,19,Mathematics,3
112,19,Information Technology,24
113,19,Life Science,13
114,19,Geography,20
115,20,English,5
116,20,Afrikaans,9
117,20,Mathematics,3
118,20,Accounting,26
119,20,History,16
120,20,Information Technology,22
121,21,English,4
122,21,Afrikaans,7
123,21,Mathematics,3
124,21,Life Science,15
125,21,Information Technology,24
126,21,Physical Science,11
127,22,English,4
128,22,Afrikaans,9
129,22,Mathematics,2
130,22,Life Science,13
