mark_id,learner_id,subject,teacher_id,term,mark
1,1,English,6,1,73
2,1,English,6,2,80
3,1,English,6,3,85
4,1,English,6,4,85
5,1,Afrikaans,8,1,40
6,1,Afrikaans,8,2,50
7,1,Afrikaans,8,3,48
8,1,Afrikaans,8,4,41
9,1,Mathematics,2,1,53
10,1,Mathematics,2,2,49
11,1,Mathematics,2,3,51
12,1,Mathematics,2,4,38
13,1,Life Science,14,1,72
14,1,Life Science,14,2,76
15,1,Life Science,14,3,81
16,1,Life Science,14,4,82
17,1,Geography,21,1,49
18,1,Geography,21,2,62
19,1,Geography,21,3,51
20,1,Geography,21,4,58
21,1,Accounting,25,1,55
22,1,Accounting,25,2,44
23,1,Accounting,25,3,40
24,1,Accounting,25,4,46
25,2,English,6,1,81
26,2,English,6,2,83
27,2,English,6,3,83
28,2,English,6,4,72
29,2,Afrikaans,8,1,71
30,2,Afrikaans,8,2,69
31,2,Afrikaans,8,3,72
32,2,Afrikaans,8,4,73
33,2,Mathematics,1,1,54
34,2,Mathematics,1,2,63
35,2,Mathematics,1,3,55
36,2,Mathematics,1,4,63
37,2,History,17,1,58
38,2,History,17,2,55
39,2,History,17,3,54
40,2,History,17,4,50
41,2,Geography,19,1,62
42,2,Geography,19,2,64
43,2,Geography,19,3,71
44,2,Geography,19,4,69
45,2,Information Technology,22,1,64
46,2,Information Technology,22,2,62
47,2,Information Technology,22,3,69
48,2,Information Technology,22,4,72
49,3,English,4,1,64
50,3,English,4,2,76
51,3,English,4,3,62
52,3,English,4,4,73
53,3,Afrikaans,8,1,80
54,3,Afrikaans,8,2,69
55,3,Afrikaans,8,3,80
56,3,Afrikaans,8,4,78
57,3,Mathematics,3,1,49
58,3,Mathematics,3,2,53
59,3,Mathematics,3,3,58
60,3,Mathematics,3,4,49
61,3,Physical Science,12,1,48
62,3,Physical Science,12,2,48
63,3,Physical Science,12,3,46
64,3,Physical Science,12,4,53
65,3,Geography,21,1,61
66,3,Geography,21,2,61
67,3,Geography,21,3,46
68,3,Geography,21,4,55
69,3,History,16,1,83
70,3,History,16,2,91
71,3,History,16,3,83
72,3,History,16,4,84
73,4,English,4,1,55
74,4,English,4,2,64
75,4,English,4,3,51
76,4,English,4,4,63
77,4,Afrikaans,7,1,67
78,4,Afrikaans,7,2,74
79,4,Afrikaans,7,3,69
80,4,Afrikaans,7,4,74
81,4,Mathematics,3,1,53
82,4,Mathematics,3,2,55
83,4,Mathematics,3,3,61
84,4,Mathematics,3,4,52
85,4,Accounting,25,1,71
86,4,Accounting,25,2,71
87,4,Accounting,25,3,66
88,4,Accounting,25,4,69
89,4,Geography,21,1,87
90,4,Geography,21,2,84
91,4,Geography,21,3,76
92,4,Geography,21,4,77
93,4,Life Science,13,1,80
94,4,Life Science,13,2,84
95,4,Life Science,13,3,77
96,4,Life Science,13,4,91
97,5,English,5,1,65
98,5,English,5,2,78
99,5,English,5,3,65
100,5,English,5,4,71
101,5,Afrikaans,7,1,47
102,5,Afrikaans,7,2,50
103,5,Afrikaans,7,3,56
104,5,Afrikaans,7,4,58
105,5,Mathematics,2,1,54
106,5,Mathematics,2,2,43
107,5,Mathematics,2,3,48
108,5,Mathematics,2,4,55
109,5,Geography,19,1,61
110,5,Geography,19,2,74
111,5,Geography,19,3,62
112,5,Geography,19,4,73
113,5,Life Science,15,1,81
114,5,Life Science,15,2,77
115,5,Life Science,15,3,82
116,5,Life Science,15,4,72
117,5,Physical Science,11,1,60
118,5,Physical Science,11,2,53
119,5,Physical Science,11,3,63
120,5,Physical Science,11,4,56
121,6,English,6,1,64
122,6,English,6,2,64
123,6,English,6,3,61
124,6,English,6,4,69
125,6,Afrikaans,9,1,71
126,6,Afrikaans,9,2,82
127,6,Afrikaans,9,3,81
128,6,Afrikaans,9,4,67
129,6,Mathematics,1,1,37
130,6,Mathematics,1,2,45
131,6,Mathematics,1,3,43
132,6,Mathematics,1,4,41
133,6,Geography,19,1,90
134,6,Geography,19,2,87
135,6,Geography,19,3,77
136,6,Geography,19,4,83
137,6,Information Technology,24,1,59
138,6,Information Technology,24,2,53
139,6,Information Technology,24,3,51
140,6,Information Technology,24,4,57
141,6,Physical Science,10,1,70
142,6,Physical Science,10,2,58
143,6,Physical Science,10,3,59
144,6,Physical Science,10,4,71
145,7,English,6,1,77
146,7,English,6,2,93
147,7,English,6,3,84
148,7,English,6,4,81
149,7,Afrikaans,7,1,68
150,7,Afrikaans,7,2,55
151,7,Afrikaans,7,3,66
152,7,Afrikaans,7,4,62
153,7,Mathematics,3,1,81
154,7,Mathematics,3,2,73
155,7,Mathematics,3,3,70
156,7,Mathematics,3,4,84
157,7,Physical Science,12,1,55
158,7,Physical Science,12,2,69
159,7,Physical Science,12,3,69
160,7,Physical Science,12,4,69
161,7,Geography,21,1,74
162,7,Geography,21,2,86
163,7,Geography,21,3,89
164,7,Geography,21,4,75
165,7,Life Science,15,1,90
166,7,Life Science,15,2,89
