class_group,average_attendance_rate,lowest_attendance_rate,highest_attendance_rate,number_of_records
11C,85.9,77.6,95.9,40
12B,86.6,78.0,96.4,52
8A,86.6,77.1,98.2,56
11A,86.9,77.8,97.9,32
12D,86.9,80.0,96.0,28
12C,87.2,78.3,94.5,32
10D,87.3,77.8,98.1,52
8D,87.3,78.3,98.0,48
10A,87.5,77.8,98.1,68
9D,87.7,78.0,98.0,44
9E,87.7,77.8,98.1,40
8E,87.8,80.0,97.9,44
11D,88.0,77.8,98.0,40
10B,88.1,78.8,98.1,60
8C,88.1,77.4,97.9,44
10C,88.3,77.6,98.1,24
9C,88.3,78.4,98.0,48
11B,88.6,78.4,98.1,64
11E,88.6,78.0,98.1,76
10E,88.7,78.2,98.2,56
8B,88.8,80.8,98.1,32
12A,88.9,78.3,97.9,44
9A,88.9,78.2,98.1,64
9B,88.9,78.2,98.1,56
12E,89.1,77.8,98.1,56
