class_group,average_mark,lowest_mark,highest_mark,number_of_marks
8C,61.2,36,91,264
8A,61.4,31,93,336
11E,61.6,35,91,456
9D,61.8,33,90,264
10E,61.9,34,92,336
12C,62.0,35,94,192
10D,62.1,32,89,312
12E,62.5,30,88,336
10C,62.5,34,94,144
12D,63.0,37,94,168
8D,63.3,31,94,288
9C,63.4,32,94,288
9B,63.5,31,95,336
11D,63.8,37,92,240
10B,63.9,30,96,360
8B,64.1,34,94,192
8E,64.2,36,93,264
12A,64.2,35,94,264
9E,64.5,33,89,240
9A,64.5,32,94,384
12B,64.6,35,92,312
10A,64.9,37,95,408
11C,65.8,32,93,240
11B,66.2,35,95,384
11A,66.6,37,92,192
