class_group,average_mark,average_attendance_rate,lowest_mark,highest_mark,number_of_marks,lowest_attendance_rate,highest_attendance_rate,number_of_records
8C,61.2,88.1,36,91,264,77.4,97.9,44
8A,61.4,86.6,31,93,336,77.1,98.2,56
11E,61.6,88.6,35,91,456,78.0,98.1,76
9D,61.8,87.7,33,90,264,78.0,98.0,44
10E,61.9,88.7,34,92,336,78.2,98.2,56
12C,62.0,87.2,35,94,192,78.3,94.5,32
10D,62.1,87.3,32,89,312,77.8,98.1,52
10C,62.5,88.3,34,94,144,77.6,98.1,24
12E,62.5,89.1,30,88,336,77.8,98.1,56
12D,63.0,86.9,37,94,168,80.0,96.0,28
8D,63.3,87.3,31,94,288,78.3,98.0,48
9C,63.4,88.3,32,94,288,78.4,98.0,48
9B,63.5,88.9,31,95,336,78.2,98.1,56
11D,63.8,88.0,37,92,240,77.8,98.0,40
10B,63.9,88.1,30,96,360,78.8,98.1,60
8B,64.1,88.8,34,94,192,80.8,98.1,32
8E,64.2,87.8,36,93,264,80.0,97.9,44
12A,64.2,88.9,35,94,264,78.3,97.9,44
9E,64.5,87.7,33,89,240,77.8,98.1,40
9A,64.5,88.9,32,94,384,78.2,98.1,64
12B,64.6,86.6,35,92,312,78.0,96.4,52
10A,64.9,87.5,37,95,408,77.8,98.1,68
11C,65.8,85.9,32,93,240,77.6,95.9,40
11B,66.2,88.6,35,95,384,78.4,98.1,64
11A,66.6,86.9,37,92,192,77.8,97.9,32
